Created Date,Problem (formerly Complaint Type),Problem Detail (formerly Descriptor),Status,Resolution Description,Borough
01/02/2026 11:39:14 PM,noise residential,banging/pounding,closed,new york city police department responded complaint information available observed evidence criminal violation time problem persists please contact create another complaint possible provide contact information responding officer may reach detail necessary complaint may referred local precinct special operation unit quality life etc count new yorkers like maintain safe city please let u know see condition require attention,manhattan
01/02/2026 11:39:04 PM,heat/hot water,entire building,closed,complaint duplicate buildingwide condition already reported another tenant original complaint still open hpd may need confirm condition exists inspecting one apartment cannot contact tenant original complaint get access apartment hpd may attempt contact person filed complaint verify correction condition may conduct inspection unit check hpdonline see,manhattan
01/02/2026 11:39:02 PM,noise street/sidewalk,loud music/party,closed,new york city police department responded complaint investigation determined police action necessary problem persists please contact create another complaint possible provide contact information responding officer may reach detail count new yorkers like maintain safe city please let u know see condition require attention,bronx
01/02/2026 11:38:52 PM,noise residential,banging/pounding,closed,new york city police department responded complaint investigation determined criminal violation existed condition corrected without need issue summons effect arrest problem persists please contact create another complaint possible provide contact information responding officer may reach detail necessary complaint may referred local precinct special operation unit quality life etc thank attention matter count new yorkers like maintain safe city please let u know see condition require attention,manhattan
01/02/2026 11:38:48 PM,heat/hot water,entire building,closed,hpd inspected condition complaint closed violation issued law provides property owner time correct condition violation description date property owner correct violation available hpdonline owner corrected condition date provided may wish bring case housing court seeking correction conditionsto find start housing court case visit hpds w,brooklyn
01/02/2026 11:38:40 PM,heat/hot water,entire building,closed,complaint duplicate buildingwide condition already reported another tenant original complaint still open hpd may need confirm condition exists inspecting one apartment cannot contact tenant original complaint get access apartment hpd may attempt contact person filed complaint verify correction condition may conduct inspection unit check hpdonline see,bronx
01/02/2026 11:38:39 PM,general,bell/buzzer/intercom,open,following complaint condition still open hpd already attempted notify property owner condition exists tenant provide access owner make repair hpd may attempt contact tenant phone verify correction condition hpd inspector may attempt conduct inspection,bronx
01/02/2026 11:38:39 PM,heat/hot water,apartment,closed,hpd called telephone number file complaint someone number indicated condition corrected complaint closed please submit new service request condition still exists,bronx
01/02/2026 11:38:29 PM,noise residential,loud music/party,closed,new york city police department responded complaint information available observed evidence criminal violation time problem persists please contact create another complaint possible provide contact information responding officer may reach detail necessary complaint may referred local precinct special operation unit quality life etc count new yorkers like maintain safe city please let u know see condition require attention,bronx
01/02/2026 11:38:16 PM,illegal parking,blocked hydrant,closed,new york city police department responded complaint investigation determined violation law occurred police issued summons response complaint thank attention matter count new yorkers like maintain safe city please let u know see condition require attention,brooklyn
01/02/2026 11:38:00 PM,water system,possible water main break use comment wa,closed,department environmental protection determined complaint duplicate previously filed complaint original complaint addressed,staten island
01/02/2026 11:38:00 PM,noise street/sidewalk,loud music/party,closed,new york city police department responded complaint investigation determined police action necessary problem persists please contact create another complaint possible provide contact information responding officer may reach detail count new yorkers like maintain safe city please let u know see condition require attention,queen
01/02/2026 11:37:53 PM,noise street/sidewalk,loud music/party,closed,new york city police department responded complaint information available observed evidence criminal violation time problem persists please contact create another complaint possible provide contact information responding officer may reach detail necessary complaint may referred local precinct special operation unit quality life etc count new yorkers like maintain safe city please let u know see condition require attention,staten island
01/02/2026 11:37:47 PM,illegal parking,commercial overnight parking,closed,new york city police department responded complaint investigation determined criminal violation existed condition corrected without need issue summons effect arrest problem persists please contact create another complaint possible provide contact information responding officer may reach detail necessary complaint may referred local precinct special operation unit quality life etc thank attention matter count new yorkers like maintain safe city please let u know see condition require attention,staten island
01/02/2026 11:37:44 PM,noise residential,banging/pounding,closed,new york city police department responded complaint investigation determined police action necessary problem persists please contact create another complaint possible provide contact information responding officer may reach detail count new yorkers like maintain safe city please let u know see condition require attention,brooklyn
01/02/2026 11:37:31 PM,nonemergency police matter,complaint detail,closed,new york city police department responded complaint investigation determined criminal violation existed condition corrected without need issue summons effect arrest problem persists please contact create another complaint possible provide contact information responding officer may reach detail necessary complaint may referred local precinct special operation unit quality life etc thank attention matter count new yorkers like maintain safe city please let u know see condition require attention,brooklyn
01/02/2026 11:37:27 PM,noise residential,loud talking,closed,new york city police department responded complaint investigation determined police action necessary problem persists please contact create another complaint possible provide contact information responding officer may reach detail count new yorkers like maintain safe city please let u know see condition require attention,bronx
01/02/2026 11:36:58 PM,noise residential,loud music/party,closed,new york city police department responded complaint information available observed evidence criminal violation time problem persists please contact create another complaint possible provide contact information responding officer may reach detail necessary complaint may referred local precinct special operation unit quality life etc count new yorkers like maintain safe city please let u know see condition require attention,bronx
01/02/2026 11:36:48 PM,noise residential,loud music/party,closed,new york city police department responded complaint investigation determined police action necessary problem persists please contact create another complaint possible provide contact information responding officer may reach detail count new yorkers like maintain safe city please let u know see condition require attention,manhattan
01/02/2026 11:36:21 PM,illegal parking,blocked hydrant,closed,new york city police department responded complaint observed criminal violation upon arrival problem persists please contact create another complaint possible provide contact information responding officer may reach detail count new yorkers like maintain safe city please let u know see condition require attention,bronx
01/02/2026 11:36:18 PM,noise residential,loud talking,closed,new york city police department responded complaint investigation determined police action necessary problem persists please contact create another complaint possible provide contact information responding officer may reach detail count new yorkers like maintain safe city please let u know see condition require attention,queen
01/02/2026 11:36:17 PM,noise residential,banging/pounding,closed,new york city police department responded complaint officer unable gain entry premise problem persists please contact create another complaint ensure contact information eg buzzer number phone number etc available assist responding officer gaining entry properly investigate complaint count new yorkers like maintain safe city please let u know see condition require attention,manhattan
01/02/2026 11:36:12 PM,noise residential,loud music/party,closed,new york city police department responded complaint investigation determined police action necessary problem persists please contact create another complaint possible provide contact information responding officer may reach detail count new yorkers like maintain safe city please let u know see condition require attention,manhattan
01/02/2026 11:36:12 PM,noise street/sidewalk,loud talking,closed,new york city police department responded complaint information available observed evidence criminal violation time problem persists please contact create another complaint possible provide contact information responding officer may reach detail necessary complaint may referred local precinct special operation unit quality life etc count new yorkers like maintain safe city please let u know see condition require attention,manhattan
01/02/2026 11:35:49 PM,animalabuse,complaint detail,closed,new york city police department responded complaint information available observed evidence criminal violation time problem persists please contact create another complaint possible provide contact information responding officer may reach detail necessary complaint may referred local precinct special operation unit quality life etc count new yorkers like maintain safe city please let u know see condition require attention,bronx
01/02/2026 11:35:48 PM,heat/hot water,apartment,closed,complaint duplicate buildingwide condition already reported another tenant original complaint still open hpd may need confirm condition exists inspecting one apartment cannot contact tenant original complaint get access apartment hpd may attempt contact person filed complaint verify correction condition may conduct inspection unit check hpdonline see,manhattan
01/02/2026 11:35:38 PM,heat/hot water,entire building,closed,department housing preservation development able gain access apartment others building inspect lack heat hot water complaint closed condition still exists please file new complaint,bronx
01/02/2026 11:35:38 PM,heat/hot water,entire building,closed,hpd responded complaint heat hot water building occupant building confirmed heat hot water restored inspector attempted conduct inspection contacted phone number associated complaint complaint closed please submit new service request condition still exists,bronx
01/02/2026 11:35:37 PM,general,cabinet,open,following complaint condition still open hpd already attempted notify property owner condition exists tenant provide access owner make repair hpd may attempt contact tenant phone verify correction condition hpd inspector may attempt conduct inspection,bronx
01/02/2026 11:35:37 PM,plumbing,basin/sink,open,following complaint condition still open hpd already attempted notify property owner condition exists tenant provide access owner make repair hpd may attempt contact tenant phone verify correction condition hpd inspector may attempt conduct inspection,bronx
01/02/2026 11:35:29 PM,noise residential,loud music/party,closed,new york city police department responded complaint information available observed evidence criminal violation time problem persists please contact create another complaint possible provide contact information responding officer may reach detail necessary complaint may referred local precinct special operation unit quality life etc count new yorkers like maintain safe city please let u know see condition require attention,bronx
01/02/2026 11:35:07 PM,illegal parking,posted parking sign violation,closed,new york city police department responded complaint investigation determined violation law occurred police issued summons response complaint thank attention matter count new yorkers like maintain safe city please let u know see condition require attention,bronx
01/02/2026 11:35:03 PM,illegal parking,blocked hydrant,closed,new york city police department responded complaint investigation determined police action necessary problem persists please contact create another complaint possible provide contact information responding officer may reach detail count new yorkers like maintain safe city please let u know see condition require attention,brooklyn
01/02/2026 11:35:00 PM,water system,water wnw,closed,department environmental protection investigated complaint found temporary condition,queen
01/02/2026 11:34:34 PM,blocked driveway,access,closed,new york city police department responded complaint investigation determined criminal violation existed condition corrected without need issue summons effect arrest problem persists please contact create another complaint possible provide contact information responding officer may reach detail necessary complaint may referred local precinct special operation unit quality life etc thank attention matter count new yorkers like maintain safe city please let u know see condition require attention,brooklyn
01/02/2026 11:34:19 PM,noise vehicle,car/truck music,closed,new york city police department responded complaint information available observed evidence criminal violation time problem persists please contact create another complaint possible provide contact information responding officer may reach detail necessary complaint may referred local precinct special operation unit quality life etc count new yorkers like maintain safe city please let u know see condition require attention,manhattan
01/02/2026 11:34:01 PM,noise residential,loud talking,closed,new york city police department responded complaint officer unable gain entry premise problem persists please contact create another complaint ensure contact information eg buzzer number phone number etc available assist responding officer gaining entry properly investigate complaint count new yorkers like maintain safe city please let u know see condition require attention,queen
01/02/2026 11:32:48 PM,heat/hot water,entire building,closed,complaint duplicate buildingwide condition already reported another tenant original complaint still open hpd may need confirm condition exists inspecting one apartment cannot contact tenant original complaint get access apartment hpd may attempt contact person filed complaint verify correction condition may conduct inspection unit check hpdonline see,queen
01/02/2026 11:32:41 PM,heat/hot water,apartment,closed,hpd called telephone number file complaint someone number indicated condition corrected complaint closed please submit new service request condition still exists,bronx
01/02/2026 11:32:29 PM,heat/hot water,entire building,closed,complaint duplicate buildingwide condition already reported another tenant original complaint still open hpd may need confirm condition exists inspecting one apartment cannot contact tenant original complaint get access apartment hpd may attempt contact person filed complaint verify correction condition may conduct inspection unit check hpdonline see,queen
01/02/2026 11:32:27 PM,noise residential,banging/pounding,closed,new york city police department responded complaint information available observed evidence criminal violation time problem persists please contact create another complaint possible provide contact information responding officer may reach detail necessary complaint may referred local precinct special operation unit quality life etc count new yorkers like maintain safe city please let u know see condition require attention,bronx
01/02/2026 11:32:26 PM,noise residential,banging/pounding,closed,new york city police department responded complaint officer unable gain entry premise problem persists please contact create another complaint ensure contact information eg buzzer number phone number etc available assist responding officer gaining entry properly investigate complaint count new yorkers like maintain safe city please let u know see condition require attention,brooklyn
01/02/2026 11:32:19 PM,heat/hot water,entire building,closed,complaint duplicate buildingwide condition already reported another tenant original complaint still open hpd may need confirm condition exists inspecting one apartment cannot contact tenant original complaint get access apartment hpd may attempt contact person filed complaint verify correction condition may conduct inspection unit check hpdonline see,manhattan
01/02/2026 11:32:05 PM,noise residential,loud music/party,closed,new york city police department responded complaint investigation determined criminal violation existed condition corrected without need issue summons effect arrest problem persists please contact create another complaint possible provide contact information responding officer may reach detail necessary complaint may referred local precinct special operation unit quality life etc thank attention matter count new yorkers like maintain safe city please let u know see condition require attention,brooklyn
01/02/2026 11:31:59 PM,heat/hot water,apartment,closed,department housing preservation development able gain access apartment others building inspect lack heat hot water complaint closed condition still exists please file new complaint,queen
01/02/2026 11:31:59 PM,unsanitary condition,pest,open,following complaint condition still open hpd already attempted notify property owner condition exists tenant provide access owner make repair hpd may attempt contact tenant phone verify correction condition hpd inspector may attempt conduct inspection,manhattan
01/02/2026 11:31:56 PM,noise vehicle,car/truck music,closed,new york city police department responded complaint information available observed evidence criminal violation time problem persists please contact create another complaint possible provide contact information responding officer may reach detail necessary complaint may referred local precinct special operation unit quality life etc count new yorkers like maintain safe city please let u know see condition require attention,brooklyn
01/02/2026 11:31:51 PM,special project inspection team spit,illegal hotel room residential building,open,service request submitted department building please check back later status,manhattan
01/02/2026 11:31:41 PM,blocked driveway,access,closed,new york city police department responded complaint investigation determined criminal violation existed condition corrected without need issue summons effect arrest problem persists please contact create another complaint possible provide contact information responding officer may reach detail necessary complaint may referred local precinct special operation unit quality life etc thank attention matter count new yorkers like maintain safe city please let u know see condition require attention,queen
01/02/2026 11:31:40 PM,street condition,pothole,closed,department transportation inspected complaint repaired problem,queen
01/02/2026 11:31:36 PM,noise vehicle,car/truck music,closed,new york city police department responded complaint information available observed evidence criminal violation time problem persists please contact create another complaint possible provide contact information responding officer may reach detail necessary complaint may referred local precinct special operation unit quality life etc count new yorkers like maintain safe city please let u know see condition require attention,manhattan
01/02/2026 11:30:58 PM,noise residential,banging/pounding,closed,new york city police department responded complaint investigation determined criminal violation existed condition corrected without need issue summons effect arrest problem persists please contact create another complaint possible provide contact information responding officer may reach detail necessary complaint may referred local precinct special operation unit quality life etc thank attention matter count new yorkers like maintain safe city please let u know see condition require attention,manhattan
01/02/2026 11:30:54 PM,noise residential,loud music/party,closed,new york city police department responded complaint officer unable gain entry premise problem persists please contact create another complaint ensure contact information eg buzzer number phone number etc available assist responding officer gaining entry properly investigate complaint count new yorkers like maintain safe city please let u know see condition require attention,bronx
01/02/2026 11:30:51 PM,illegal parking,blocked bike lane,closed,new york city police department responded complaint investigation determined violation law occurred police issued summons response complaint thank attention matter count new yorkers like maintain safe city please let u know see condition require attention,brooklyn
01/02/2026 11:30:50 PM,illegal parking,blocked hydrant,closed,new york city police department responded complaint observed criminal violation upon arrival problem persists please contact create another complaint possible provide contact information responding officer may reach detail count new yorkers like maintain safe city please let u know see condition require attention,brooklyn
01/02/2026 11:30:49 PM,dead animal,rat mouse,closed,department sanitation investigated complaint found condition location,manhattan
01/02/2026 11:30:45 PM,noise commercial,loud music/party,closed,new york city police department responded complaint investigation determined criminal violation existed condition corrected without need issue summons effect arrest problem persists please contact create another complaint possible provide contact information responding officer may reach detail necessary complaint may referred local precinct special operation unit quality life etc thank attention matter count new yorkers like maintain safe city please let u know see condition require attention,manhattan
01/02/2026 11:30:43 PM,noise residential,banging/pounding,closed,new york city police department responded complaint report prepared part investigation thank attention matter count new yorkers like maintain safe city please let u know see condition require attention,bronx
01/02/2026 11:30:00 PM,traffic signal condition,vehicle signal,closed,service request status request available department transportation website please click learn link,staten island
01/02/2026 11:29:52 PM,illegal parking,parking permit improper use,closed,new york city police department responded complaint investigation determined police action necessary problem persists please contact create another complaint possible provide contact information responding officer may reach detail count new yorkers like maintain safe city please let u know see condition require attention,queen
01/02/2026 11:29:10 PM,heat/hot water,entire building,closed,complaint duplicate buildingwide condition already reported another tenant original complaint still open hpd may need confirm condition exists inspecting one apartment cannot contact tenant original complaint get access apartment hpd may attempt contact person filed complaint verify correction condition may conduct inspection unit check hpdonline see,manhattan
01/02/2026 11:29:05 PM,noise residential,banging/pounding,closed,new york city police department responded complaint investigation determined criminal violation existed condition corrected without need issue summons effect arrest problem persists please contact create another complaint possible provide contact information responding officer may reach detail necessary complaint may referred local precinct special operation unit quality life etc thank attention matter count new yorkers like maintain safe city please let u know see condition require attention,brooklyn
01/02/2026 11:29:04 PM,noise residential,loud music/party,closed,new york city police department responded complaint investigation determined criminal violation existed condition corrected without need issue summons effect arrest problem persists please contact create another complaint possible provide contact information responding officer may reach detail necessary complaint may referred local precinct special operation unit quality life etc thank attention matter count new yorkers like maintain safe city please let u know see condition require attention,bronx
01/02/2026 11:28:59 PM,noise residential,loud music/party,closed,new york city police department responded complaint information available observed evidence criminal violation time problem persists please contact create another complaint possible provide contact information responding officer may reach detail necessary complaint may referred local precinct special operation unit quality life etc count new yorkers like maintain safe city please let u know see condition require attention,staten island
01/02/2026 11:28:59 PM,noise residential,banging/pounding,closed,new york city police department responded complaint investigation determined criminal violation existed condition corrected without need issue summons effect arrest problem persists please contact create another complaint possible provide contact information responding officer may reach detail necessary complaint may referred local precinct special operation unit quality life etc thank attention matter count new yorkers like maintain safe city please let u know see condition require attention,bronx
01/02/2026 11:28:43 PM,heat/hot water,entire building,closed,hpd responded complaint heat hot water building occupant building confirmed heat hot water restored inspector attempted conduct inspection contacted phone number associated complaint complaint closed please submit new service request condition still exists,queen
01/02/2026 11:28:32 PM,heat/hot water,entire building,closed,complaint duplicate buildingwide condition already reported another tenant original complaint still open hpd may need confirm condition exists inspecting one apartment cannot contact tenant original complaint get access apartment hpd may attempt contact person filed complaint verify correction condition may conduct inspection unit check hpdonline see,brooklyn
01/02/2026 11:28:31 PM,blocked driveway,access,closed,new york city police department responded complaint information available observed evidence criminal violation time problem persists please contact create another complaint possible provide contact information responding officer may reach detail necessary complaint may referred local precinct special operation unit quality life etc count new yorkers like maintain safe city please let u know see condition require attention,brooklyn
01/02/2026 11:28:29 PM,heat/hot water,entire building,closed,complaint duplicate buildingwide condition already reported another tenant original complaint still open hpd may need confirm condition exists inspecting one apartment cannot contact tenant original complaint get access apartment hpd may attempt contact person filed complaint verify correction condition may conduct inspection unit check hpdonline see,bronx
01/02/2026 11:28:24 PM,heat/hot water,apartment,closed,complaint duplicate buildingwide condition already reported another tenant original complaint still open hpd may need confirm condition exists inspecting one apartment cannot contact tenant original complaint get access apartment hpd may attempt contact person filed complaint verify correction condition may conduct inspection unit check hpdonline see,queen
01/02/2026 11:28:24 PM,unsanitary condition,mold,closed,hpd conducted inspection complaint condition observed inspector violate housing law enforced hpd complaint closed,queen
01/02/2026 11:28:24 PM,water leak,slow leak,closed,hpd conducted inspection complaint condition observed inspector violate housing law enforced hpd complaint closed,queen
01/02/2026 11:28:14 PM,noise residential,loud music/party,closed,new york city police department responded complaint investigation determined police action necessary problem persists please contact create another complaint possible provide contact information responding officer may reach detail count new yorkers like maintain safe city please let u know see condition require attention,bronx
01/02/2026 11:27:46 PM,illegal parking,blocked hydrant,closed,new york city police department responded complaint investigation determined criminal violation existed condition corrected without need issue summons effect arrest problem persists please contact create another complaint possible provide contact information responding officer may reach detail necessary complaint may referred local precinct special operation unit quality life etc thank attention matter count new yorkers like maintain safe city please let u know see condition require attention,brooklyn
01/02/2026 11:27:38 PM,noise residential,loud music/party,closed,new york city police department responded complaint information available observed evidence criminal violation time problem persists please contact create another complaint possible provide contact information responding officer may reach detail necessary complaint may referred local precinct special operation unit quality life etc count new yorkers like maintain safe city please let u know see condition require attention,bronx
01/02/2026 11:27:29 PM,noise commercial,loud music/party,closed,new york city police department responded complaint investigation determined criminal violation existed condition corrected without need issue summons effect arrest problem persists please contact create another complaint possible provide contact information responding officer may reach detail necessary complaint may referred local precinct special operation unit quality life etc thank attention matter count new yorkers like maintain safe city please let u know see condition require attention,bronx
01/02/2026 11:27:09 PM,noise residential,loud talking,closed,new york city police department responded complaint officer unable gain entry premise problem persists please contact create another complaint ensure contact information eg buzzer number phone number etc available assist responding officer gaining entry properly investigate complaint count new yorkers like maintain safe city please let u know see condition require attention,brooklyn
01/02/2026 11:27:04 PM,noise residential,banging/pounding,closed,new york city police department responded complaint officer unable gain entry premise problem persists please contact create another complaint ensure contact information eg buzzer number phone number etc available assist responding officer gaining entry properly investigate complaint count new yorkers like maintain safe city please let u know see condition require attention,brooklyn
01/02/2026 11:27:04 PM,noise residential,loud music/party,closed,new york city police department responded complaint investigation determined police action necessary problem persists please contact create another complaint possible provide contact information responding officer may reach detail count new yorkers like maintain safe city please let u know see condition require attention,manhattan
01/02/2026 11:26:43 PM,heat/hot water,apartment,closed,hpd called telephone number file complaint someone number indicated condition corrected complaint closed please submit new service request condition still exists,manhattan
01/02/2026 11:26:36 PM,noise residential,banging/pounding,closed,new york city police department responded complaint investigation determined criminal violation existed condition corrected without need issue summons effect arrest problem persists please contact create another complaint possible provide contact information responding officer may reach detail necessary complaint may referred local precinct special operation unit quality life etc thank attention matter count new yorkers like maintain safe city please let u know see condition require attention,brooklyn
01/02/2026 11:26:26 PM,unsanitary condition,garbage/recycling storage,closed,hpd conducted inspection complaint condition observed inspector violate housing law enforced hpd complaint closed,queen
